Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Google Shopping / Google Product Category,Status
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,"Cute Winnie The Pooh MAGSAFE Case, Autumn Leaf Shaker Grip & Charm, Kawaii Clear Cover iPhone 17 16 15 14 13 Pro Max, Y2K Fall Aesthetic","<p>Sweeten your fall aesthetic with this Kawaii Winnie the Pooh MagSafe case featuring an autumn leaf shaker grip and beaded charm! A cute clear iPhone cover gift. 🍁🐻</p>
<p>Embrace the ultimate kawaii Y2K fall aesthetic with this adorable autumn bear and leaf case bundle! ✨</p>
<p>This isn't just a phone case; it's a complete interactive experience. The clear back features adorable decals of Winnie the Pooh, Piglet, and falling autumn leaves, allowing your actual phone color to perfectly blend with the artwork. The case features a built-in pastel yellow MagSafe ring for seamless wireless charging.</p>
<p>The absolute star of the show is the attachable liquid shaker phone grip—a clear Pooh bear holding a maple leaf, filled with moving liquid and tiny floating character pieces! To complete the ultimate kawaii look, choose to add the matching hand-beaded retro disc wristlet charm.</p>
<p><strong>Key Features</strong></p>
<p>MagSafe Compatible: Features a built-in magnetic ring, fully compatible with all your MagSafe chargers and accessories.</p>
<p>Interactive Bear Grip: A stunning liquid snowglobe-style phone socket shaped like Winnie the Pooh, featuring tiny floating leaf and character pieces inside for a fun, tactile experience.</p>
<p>Matching Charm Option: A premium hand-beaded wristlet featuring a vibrant autumn mix of orange, white, and blue retro disc beads with rustic wooden accents.</p>
<p>Clear Camera Protection: Features a stylish raised clear bezel around the camera unit to protect your lenses from scratches and drops.</p>
<p>Shockproof Clear Bumper: Soft, flexible clear edges allow for easy installation while providing excellent drop protection and a comfortable grip.</p>
<p><strong>Device Compatibility</strong></p>
<p>Available for the following iPhone models:</p>
<p>iPhone 17 Series: iPhone 17, 17 Pro, 17 Pro Max</p>
<p>iPhone 16 Series: iPhone 16, 16 Pro, 16 Pro Max</p>
<p>iPhone 15 Series: iPhone 15, 15 Pro, 15 Pro Max</p>
<p>iPhone 14 Series: iPhone 14, 14 Pro, 14 Pro Max</p>
<p>iPhone 13 Series: iPhone 13</p>
<p>(Please Note: 13 Pro, 13 Pro Max, lower models, Plus and Mini models are NOT available for this design).</p>
<p><strong>What's Included</strong></p>
<p>Choose your preferred bundle from the dropdown:</p>
<p>The Full Set: (MagSafe Case + Bear Shaker Grip + Beaded Charm)</p>
<p>Case + Grip: (MagSafe Case + Bear Shaker Grip)</p>
<p>Case + Charm: (MagSafe Case + Beaded Charm)</p>
<p>Case Only: (The MagSafe Case)</p>
<p>Grip Only: (The MagSafe Grip)</p>
<p><strong>Charm Only</strong></p>
<p><strong>️ The IPhoneCasesByTwily Promise</strong></p>
<p>At IPhoneCasesByTwily, we are catered to deliver the best quality cases while retaining the maximum protection available for your device. We believe your phone should be safe and cute. Every single order is hand-packaged with love by our team and includes a special free gift just for you!</p>
<p><strong>Shipping & Processing</strong></p>
<p>All orders are processed and ready to ship within 3-5 business days. We ship worldwide with tracking provided for every order, so you can follow your package's journey from our studio to your doorstep. Please allow standard carrier transit times for delivery.</p>",Y2KASE,Accessories > Phone Cases,Phone Case,"iPhone 17 Pro Max, y2kase, gift for her, cute iphone case, iphone case gift, winnie the pooh, winnie iphone case, winnie phone case, cute winnie case, winnie popsocket, winnie, winnie grip, winnie gift",FALSE,Phone Model,iPhone 17 Pro Max,Style,Case+Grip+Charm,Y2K-POOH-17PM-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,https://i.etsystatic.com/65453590/r/il/3c0160/7924742902/il_fullxfull.7924742902_9w87.jpg,1,"Cute Winnie The Pooh MAGSAFE Case, Autumn Leaf Shaker Grip & Charm, Kawaii Clear Cover iPhone 17 16 15 14 13 Pro Max, Y2K Fall Aesthetic","Cute Winnie The Pooh MAGSAFE Case, Autumn Leaf Shaker Grip & Charm,...","Shop the Cute Winnie The Pooh MAGSAFE Case, Autumn Leaf Shaker Grip & Charm,... at Y2KASE — kawaii Y2K phone cases for iPhone.",Apparel & Accessories > Phone Cases,draft
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro Max,,Case+Grip,Y2K-POOH-17PM-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro Max,,Case+Charm,Y2K-POOH-17PM-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro Max,,Case Only,Y2K-POOH-17PM-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro Max,,Grip Only,Y2K-POOH-17PM-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro Max,,Charm Only,Y2K-POOH-17PM-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro,,Case+Grip+Charm,Y2K-POOH-17PR-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro,,Case+Grip,Y2K-POOH-17PR-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro,,Case+Charm,Y2K-POOH-17PR-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro,,Case Only,Y2K-POOH-17PR-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
